"shapeid","x","y","house_num","special_co","streetname"
"82","-73.7491767503","40.7758310708","248","B","34 AVENUE"
"83","-73.8207116276","40.6045753665","15","B","12 ROAD"
"84","-73.8456767809","40.7844722276","14-033","B","122 STREET"
"85","-73.7475655555","40.7754038038","312","B","35 AVENUE"
"86","-73.7498349355","40.7777992064","31-001","B","240 STREET"
"87","-73.7504002653","40.7773615191","231","B","32 AVENUE"
"88","-73.8848460533","40.7173946652","70-005","B","63 AVENUE"
"89","-73.8259712808","40.7929949499","7","B","BOULEVARD"
"90","-73.753333824","40.7751375665","6","B","34 AVENUE"
"91","-73.8227972779","40.7254388765","141-020","B","72 ROAD"
"92","-73.8227600439","40.6032050333","56","B","14 ROAD"
"93","-73.8980074127","40.7271672627","66-023","B","56 AVENUE"
"94","-73.7516996857","40.7786729984","123","B","30 AVENUE"
"95","-73.7502972001","40.7798481407","240-030","B","28 AVENUE"
"96","-73.7747805544","40.7525413356","48-023","B","205 STREET"
"97","-73.7341545016","40.7712121954","45-020","B","254 STREET"
"98","-73.8605619147","40.7191683527","85-074","B","FLEET STREET"
"99","-73.7716905948","40.7461074323","58-027","B","205 STREET"
"100","-73.9863283942","40.7386214408","60","B","GRAMERCY PARK"
"101","-73.899020691","40.7586090879","30-043","B","BROOKLYN QUEENS EXPWY E SR N"
"102","-73.7510869607","40.7720680663","38-035","B","DOUGLASTON PARKWAY"
"103","-73.7749883344","40.7544183298","47-017","B","CLEARVIEW EXPRESSWAY"
"104","-73.7746568498","40.7492013272","53-016","B","204 STREET"
"105","-73.7477371742","40.7784728481","371","B","GROSVENOR ROAD"
"106","-73.7522159161","40.7800651335","235-029","B","28 AVENUE"
"107","-73.9069024001","40.728094321","59-051","B","QUEENS MIDTOWN EXPRESSWAY SR N"
"108","-73.8441645317","40.7154216498","21","B","RUSSELL PLACE"
"109","-73.8220088474","40.7252500198","141-065","B","72 ROAD"
"110","-73.8459344356","40.7840169699","15-004","B","122 STREET"
"111","-73.7520096053","40.7760694164","236-022","B","33 AVENUE"
"112","-73.7805073557","40.7668098049","35-015","B","207 STREET"
"113","-73.9871877101","40.750317055","1330","B","BROADWAY"
"114","-73.9530002574","40.6112018756","2017","B","KINGS HIGHWAY"
"115","-73.979952298","40.7155136526","285","B","DELANCEY ST SOUTH"
"116","-74.0033246904","40.7232503422","505","B","BROOME STREET"
"117","-74.0057135603","40.7302301245","75","B","LEROY STREET"
"118","-74.00970724","40.6281099401","1001","B","68 STREET"
"119","-73.9554385714","40.8126814026","445","B","DR M L KING JR BOULEVARD"
"120","-73.9550241744","40.8122052801","429","B","DR M L KING JR BOULEVARD"
"121","-73.9979361112","40.6206198369","1542","B","OVINGTON AVENUE"
"122","-73.9525095241","40.6763690015","39","B","GRANT SQUARE"
"123","-73.9661234225","40.5749964656","201","B","BRIGHTON 1 ROAD"
"124","-73.8354275186","40.8742549156","3111","B","NEW ENGLAND THRUWAY"
"125","-73.8435272685","40.840703986","19","B","WESTCHESTER SQUARE"
"126","-73.9565660039","40.5890175152","2530","B","SHEEPSHEAD BAY ROAD"
"127","-73.9562613747","40.58909446","2529","B","SHEEPSHEAD BAY ROAD"
"128","-73.9525041059","40.67642719","37","B","GRANT SQUARE"
"129","-73.9993837074","40.6219314612","1469","B","68 STREET"
"130","-73.9994846755","40.6219764422","1465","B","68 STREET"
"131","-73.999835625","40.6222161042","1447","B","68 STREET"
"132","-74.0092166883","40.6275253628","1034","B","68 STREET"
"133","-73.9974198304","40.6208780197","1553","B","OVINGTON AVENUE"
"134","-74.0086460927","40.6274621503","1049","B","68 STREET"
"135","-74.0057964825","40.6257292413","1179","B","68 STREET"
"136","-74.0065693553","40.6262117136","1143","B","68 STREET"
"137","-74.0024714194","40.623692654","1333","B","68 STREET"
"138","-74.0197823672","40.6214697513","8125","B","FT HAMILTON PARKWAY"
"139","-74.0065314907","40.6258676487","1154","B","68 STREET"
"140","-74.0064780228","40.6258334093","1158","B","68 STREET"
"141","-74.0023552194","40.6233547919","1344","B","68 STREET"
"142","-74.0148185935","40.6295312189","819","B","OVINGTON AVENUE"
"143","-73.8965578947","40.6346676065","1521","B","EAST 92 STREET"
"144","-73.8967067599","40.6347595963","1513","B","EAST 92 STREET"
"145","-73.9815056334","40.6427495694","13","B","STORY COURT"
"146","-73.842518267","40.8411272127","71","B","WESTCHESTER SQUARE"
"147","-73.9072413149","40.8105411883","455","B","SOUTHERN BOULEVARD"
"148","-73.8169073528","40.8280664627","654","B","THROGS NECK EXPRESSWAY SR"
"149","-73.8220447508","40.8341642647","1032","B","THROGS NECK EXPRESSWAY SR"
"150","-73.8073406612","40.8175771601","4236","B","THROGS NECK EXPRESSWAY"
"151","-73.8982025845","40.8955455572","244","B","WEST 251 STREET"
"152","-73.7416352894","40.7380188247","230-001","B","GRAND CENTRAL PARKWAY"
"153","-73.8431412619","40.8415595349","55","B","WESTCHESTER SQUARE"
"154","-73.8354332694","40.874456781","3121","B","NEW ENGLAND THRUWAY"
"155","-73.9283412837","40.8403148331","1278","B","MAJ WM DEEGAN BOULEVARD"
"156","-73.8164958744","40.8276535669","638","B","THROGS NECK EXPRESSWAY SR"
"157","-73.7506393316","40.7740516972","36-002","B","237 STREET"
"158","-73.7300932138","40.6647098746","248-010","B","OCEAN AVENUE"
"159","-73.7751750196","40.7154002202","187-018","B","87 DRIVE"
"160","-73.7506779231","40.7780105554","237-023","B","31 AVENUE"
"161","-73.7480532805","40.7770201618","327","B","33 AVENUE"
"162","-73.7471917183","40.7332226333","222-011","B","GRAND CENTRAL PARKWAY"
"163","-73.7784817737","40.7629636929","39-009","B","207 STREET"
"164","-73.9119871718","40.7250094158","58-001","B","56 ROAD"
"165","-73.8464542561","40.6730968736","89-028","B","135 AVENUE"
"166","-73.7519359182","40.7786875295","113","B","30 AVENUE"
"167","-73.775134394","40.6887157863","116-001","B","173 STREET"
"168","-74.0095423519","40.7048639296","3","B","HANOVER SQUARE"
"169","-73.8323610153","40.7529396276","44-029","B","LAWRENCE STREET"
"170","-73.8893960716","40.7271411837","72-005","B","57 DRIVE"
"171","-73.814419615","40.7535120523","146-026","B","46 AVENUE"
"172","-73.8068912539","40.781788549","18-039","B","CLINTONVILLE STREET"
"173","-73.8112192666","40.5917255335","6","B","BAYSIDE DOCK"
"174","-73.7472280543","40.7771602811","240-051","B","33 AVENUE"
"175","-73.8353623492","40.6782528068","103-010","B","109 AVENUE"
"176","-73.9545136454","40.811751846","411","B","DR M L KING JR BOULEVARD"
"177","-73.7481378915","40.7725549656","239","B","HILLSIDE AVENUE"
"178","-73.8545596294","40.8987299122","689","B","EAST 238 STREET"
"179","-73.8555392288","40.8111981619","264","B","SOUNDVIEW AVENUE"
"180","-74.003242373","40.5759292008","34","B","TUDOR TERRACE"
"181","-73.8832241739","40.8503117432","790","B","OLD KINGSBRIDGE ROAD"
"182","-73.7965434672","40.6863618124","111-057","B","LIVERPOOL STREET"
"183","-73.7744841221","40.683366568","119-034","B","171 STREET"
"184","-73.7971102504","40.6875136438","111-013","B","LIVERPOOL STREET"
"185","-73.8215138877","40.6046539923","31","B","12 ROAD"
"186","-73.8069810236","40.6875741987","138-015","B","HAWTREE CREEK ROAD"
"187","-73.773453285","40.7497309408","53-007","B","205 STREET"
"188","-73.7754766817","40.68860511","116-002","B","173 STREET"
"189","-73.8258659736","40.7909223699","144-017","B","CENTER DRIVE"
"190","-73.7474217006","40.7744505238","36-015","B","240 STREET"
"191","-73.8213348421","40.6046369955","29","B","12 ROAD"
"192","-73.7509173728","40.7776609384","214","B","GROSVENOR ROAD"
"193","-73.7759648158","40.7557418994","46-014","B","CLEARVIEW EXPRESSWAY"
"194","-73.7469668268","40.7705558685","88","B","PROSPECT AVENUE"
"195","-74.0027213487","40.7061859881","95","B","MARGINAL STREET"
"196","-73.9835981945","40.6907120451","436","B","ALBEE SQUARE"
"197","-74.0010422528","40.7580690146","601","B","WEST 37 STREET"
"198","-73.7824144989","40.77034836","32-043","B","207 STREET"
"199","-73.8458431384","40.7810976816","20-019","B","122 STREET"
"200","-73.9979757858","40.6209157305","1540","B","OVINGTON AVENUE"
"201","-74.0076727718","40.6265827343","1102","B","68 STREET"
"202","-74.0094697356","40.6276826292","1024","B","68 STREET"
"203","-73.9005070619","40.6574032224","1663","B","LINDEN BOULEVARD"
"204","-73.8528029511","40.8305613161","2112","B","EAST 177 STREET"
"205","-73.8165752221","40.8221042295","3077","B","EAST 177 STREET"
"206","-73.8550752681","40.8989431287","677","B","EAST 238 STREET"
"207","-73.8104260726","40.7593206583","155-019","B","43 AVENUE"
"208","-73.8274062742","40.7906265425","141-047","B","CENTER DRIVE"
"209","-73.8453522396","40.790242182","7-019","B","122 STREET"
"210","-73.7744403118","40.7518202548","48-049","B","205 STREET"
"211","-73.8215532258","40.7904639353","10-023","B","WHITESTONE EXPRESSWAY"
"212","-73.7519873083","40.7750085472","235-011","B","35 AVENUE"
"213","-73.9022245156","40.7255396126","61-054","B","55 DRIVE"
"214","-73.771891959","40.7465239301","58-009","B","205 STREET"
"215","-73.7717572549","40.7462448665","58-021","B","205 STREET"
"216","-73.7386217845","40.6695461803","234-011","B","138 AVENUE"
"217","-73.7975813065","40.6884618005","110-021","B","LIVERPOOL STREET"
"218","-73.7503682003","40.7309100576","218-021","B","GRAND CENTRAL PARKWAY"
"219","-73.7476973574","40.7760534891","322","B","34 AVENUE"
"220","-73.822070204","40.6045402512","46","B","12 ROAD"
"221","-73.8172938932","40.5854042698","195","B","CROSS BAY PARKWAY"
"222","-73.8627528182","40.7184527588","85-014","B","FLEET STREET"
"223","-73.7479151772","40.7777430815","240-045","B","32 AVENUE"
"224","-73.7490523941","40.7792821349","347","B","DOUGLAS ROAD"
"225","-73.752564546","40.7741019076","8","B","SHORE ROAD"
"226","-73.7808564809","40.764662488","36-034","B","206 STREET"
"227","-73.7382991865","40.769011245","43-022","B","250 STREET"
"228","-73.7757378084","40.751575057","48-046","B","204 STREET"
"229","-73.8441296925","40.7147124131","104-011","B","72 ROAD"
"230","-73.9957094718","40.7677631296","710","B","12 AVENUE"
"231","-73.7497696713","40.775738652","237-030","B","34 AVENUE"
"232","-73.9523438509","40.6109218844","2102","B","KINGS HIGHWAY"
"233","-73.842774952","40.8398099085","136","B","WESTCHESTER SQUARE"
"234","-74.0028813845","40.6239242152","1315","B","68 STREET"
"235","-74.0059836129","40.625515311","1178","B","68 STREET"
"236","-73.8576716681","40.8320407446","1974","B","EAST 177 STREET"
"237","-73.8018425241","40.676310621","118-017","B","139 STREET"
"238","-73.8490243394","40.7923664306","119-050","B","5 AVENUE"
"239","-73.8397505413","40.7159240098","16","B","PARK END PLACE"
"240","-73.7467768189","40.7779230598","375","B","32 AVENUE"
"241","-73.9177171553","40.5605419184","10-006","B","BAYSIDE STREET"
"242","-73.7517757883","40.78112103","235-026","B","26 AVENUE"
"243","-73.8223289838","40.7258282884","141-037","B","72 ROAD"
"244","-73.7765825942","40.7591510583","43-015","B","207 STREET"
"245","-73.7784104779","40.7146131424","87-018","B","DALNY ROAD"
"246","-73.7509327211","40.7804258216","240-018","B","27 AVENUE"
"247","-73.8460289341","40.7822794248","18-030","B","122 STREET"
"248","-73.9567594143","40.8142030318","521","B","DR M L KING JR BOULEVARD"
"249","-73.7533535957","40.7754542912","235-015","B","34 AVENUE"
"250","-73.7521098146","40.7753310575","112","B","34 AVENUE"
"251","-73.831685622","40.7674936338","32-005","B","LINDEN STREET"
"252","-73.8072045016","40.7819466338","18-007","B","CLINTONVILLE STREET"
"253","-73.8296448726","40.7905624782","35","B","BOULEVARD"
"254","-73.7479380774","40.7784255177","367","B","GROSVENOR ROAD"
"255","-73.7973381508","40.6872800755","111-020","B","LIVERPOOL STREET"
"256","-73.8018892152","40.6765471621","118-009","B","139 STREET"
"257","-74.0054016949","40.6254552756","1201","B","68 STREET"
"258","-73.8355686539","40.8748755012","3135","B","NEW ENGLAND THRUWAY"
"259","-74.0088669963","40.6273215392","1048","B","68 STREET"
"260","-73.7485613102","40.7787484418","240-062","B","30 AVENUE"
"261","-73.7485737192","40.7787462506","356","B","30 AVENUE"
"262","-73.7498770482","40.7750248239","237-016","B","35 AVENUE"
"263","-73.7994018173","40.7838592409","163-015","B","WILLETS POINT BOULEVARD"
"264","-73.8960231645","40.7245403605","57-032","B","68 STREET"
"265","-73.7518889445","40.7756727117","236-023","B","34 AVENUE"
"266","-73.8961180033","40.7249887663","57-020","B","68 STREET"
"267","-73.7801385499","40.787946983","214-010","B","WATERS EDGE DRIVE"
"268","-73.7438978011","40.6582367309","240-028","B","EDGEWOOD STREET"
"269","-73.8195594478","40.8313042429","840","B","THROGS NECK EXPRESSWAY SR"
"270","-73.8222840989","40.6031506462","46","B","14 ROAD"
"271","-73.811911172","40.7778487","151-011","B","WILLETS POINT BOULEVARD"
"272","-73.7518108851","40.7758245143","131","B","34 AVENUE"
"273","-73.7485016271","40.7787133775","30-002","B","DOUGLAS ROAD"
"274","-73.8454398284","40.7872306104","11-025","B","122 STREET"
"275","-73.7509029777","40.7800967104","240-017","B","28 AVENUE"
"276","-73.8917070363","40.7249448318","69-080","B","58 ROAD"
"277","-73.9568657915","40.8143290955","525","B","DR M L KING JR BOULEVARD"
"278","-73.9657162925","40.577373782","32","B","BRIGHTON 1 TERRACE"
"279","-73.8085018145","40.6869863999","135-015","B","HAWTREE CREEK ROAD"
"280","-73.7747113586","40.6837530748","119-020","B","171 STREET"
"281","-73.7495218491","40.7764768522","237-046","B","33 AVENUE"
"282","-74.0059737002","40.6258264071","1171","B","68 STREET"
"283","-73.82052848","40.6044038099","12","B","12 ROAD"
"284","-73.8459405378","40.7784593961","23-001","B","122 STREET"
"285","-73.8923353784","40.725961197","69-075","B","58 AVENUE"
"286","-73.7495932341","40.7757351232","237-036","B","34 AVENUE"
"287","-73.8429392668","40.8413806538","65","B","WESTCHESTER SQUARE"
"288","-73.7504876009","40.7784331902","240-010","B","30 AVENUE"
"289","-73.8212689836","40.6044685324","28","B","12 ROAD"
"290","-74.0004333392","40.6225771757","1423","B","68 STREET"
"291","-73.9860151161","40.7374748318","126","B","EAST 20 STREET"
"292","-73.9224934706","40.6519617898","135","B","EAST 58 STREET"
"293","-73.9072912242","40.8452890586","233","B","EAST 174 STREET"
"294","-73.8705074968","40.8365396529","1719","B","EAST 177 STREET"
"295","-73.7483158388","40.7759721983","240-004","B","34 AVENUE"
"296","-73.9006025804","40.7066836666","66-050","B","PROSPECT AVENUE"
"297","-73.7795396018","40.7880459992","214-026","B","WATERS EDGE DRIVE"
"298","-73.8652709801","40.7671237174","105-001","B","25 AVENUE"
"299","-73.8285155874","40.7901188411","141-015","B","CENTER DRIVE"
"300","-73.7476417288","40.7753761664","240-016","B","35 AVENUE"
"301","-73.8187130592","40.7171121573","139-001","B","GRAND CENTRAL PARKWAY"
"302","-73.7518721704","40.7753865488","236-020","B","34 AVENUE"
"303","-73.7970865094","40.6867706464","111-038","B","LIVERPOOL STREET"
"304","-73.8463226089","40.7776450894","23-032","B","122 STREET"
"305","-73.7379800028","40.7749262734","52","B","NASSAU ROAD"
"306","-73.8196717792","40.5982009443","20-016","B","DEMEREST ROAD"
"307","-73.7782456489","40.6998275669","177-002","B","109 AVENUE"
"308","-73.8089450786","40.6865918975","135-002","B","HAWTREE CREEK ROAD"
"309","-73.8142347981","40.7536343663","146-032","B","46 AVENUE"
"310","-73.8088360525","40.8196138198","4169","B","EAST 177 STREET"
"311","-73.7388804034","40.768282778","43-038","B","MARATHON PARKWAY"
"312","-73.7474688555","40.7760923746","240-030","B","34 AVENUE"
"313","-73.7502912732","40.7717685673","236-002","B","HILLSIDE AVENUE"
"314","-73.7813244533","40.7681429039","34-013","B","207 STREET"
"315","-73.7796875622","40.7880225743","214-022","B","WATERS EDGE DRIVE"
"316","-74.0075126813","40.7478999035","154","B","11 AVENUE"
"317","-73.746924856","40.7769127062","240-054","B","33 AVENUE"
"318","-73.898161237","40.726836987","66-014","B","56 AVENUE"
"319","-73.7495701034","40.7767658192","249","B","33 AVENUE"
"320","-73.8207903491","40.6045907219","17","B","12 ROAD"
"321","-73.8165611592","40.6071447679","210","B","8 ROAD"
"322","-73.9857786497","40.7373768152","23","B","GRAMERCY PARK"
"323","-73.7503450597","40.7805105302","240-036","B","27 AVENUE"
"324","-73.8912831209","40.7251442667","69-092","B","58 ROAD"
"325","-73.7612561254","40.6063553725","23-049","B","BAYSWATER AVENUE"
"326","-73.8063518535","40.7821849847","18-025","B","CLINTONVILLE STREET"
"327","-73.9971654721","40.6207246287","1563","B","OVINGTON AVENUE"
"328","-74.0081074865","40.6271045341","1073","B","68 STREET"
"329","-73.8457960982","40.7351944778","63-032","B","112 STREET"
"330","-73.7506943309","40.7769912048","224","B","32 AVENUE"
"331","-73.7488764138","40.7768987062","303","B","33 AVENUE"
"332","-73.7613719122","40.6984010574","191-027","B","114 AVENUE"
"333","-73.8458410124","40.7811541074","20-017","B","122 STREET"
"334","-73.8019178848","40.6767749723","118-001","B","139 STREET"
"335","-73.87964036","40.6816803567","3127","B","FULTON STREET"
"336","-73.7733489863","40.749514288","53-015","B","205 STREET"
"337","-73.855168341","40.8989592334","675","B","EAST 238 STREET"
"338","-73.8239794632","40.7904905567","9-006","B","PARSONS BOULEVARD"
"339","-73.8294705031","40.7899902772","43","B","BOULEVARD"
"340","-73.7791181276","40.7009123411","177-002","B","108 AVENUE"
"341","-73.8365838714","40.663332954","156-011","B","97 STREET"
"342","-74.0015353671","40.6231836125","1371","B","68 STREET"
"343","-74.0017688083","40.6232861886","1361","B","68 STREET"
"344","-74.0085654401","40.6271432896","1060","B","68 STREET"
"345","-73.8167266905","40.8227571941","485","B","THROGS NECK EXPRESSWAY SR"
"346","-73.8512568154","40.8301407024","2164","B","EAST 177 STREET"
"347","-73.8162592877","40.8273369452","626","B","THROGS NECK EXPRESSWAY SR"
"348","-73.954815694","40.8119917552","421","B","DR M L KING JR BOULEVARD"
"349","-73.959408443","40.7036575925","148","B","KEAP STREET"
"350","-73.8437703331","40.8415913715","38","B","WESTCHESTER SQUARE"
"351","-73.8423328135","40.7596489547","127-002","B","35 AVENUE"
"352","-73.7675682571","40.6970152871","186-024","B","114 AVENUE"
"353","-73.7807496346","40.7644569242","36-042","B","206 STREET"
"354","-73.8406753817","40.5782187237","120-007","B","ROCKAWAY BEACH BOULEVARD"
"355","-73.7477937172","40.7749893073","35-019","B","240 STREET"
"356","-73.7279461014","40.6917576978","116-052","B","CROSS ISLAND PARKWAY"
"357","-73.8629236121","40.7188513658","85-019","B","FLEET STREET"
"358","-73.749482826","40.7778896522","310","B","GROSVENOR ROAD"
"359","-73.7470903525","40.7740680244","240-012","B","37 ROAD"
"360","-73.8278909078","40.7900408493","32","B","CENTER DRIVE"
"361","-73.8171952933","40.5852443656","189","B","CROSS BAY PARKWAY"
"362","-73.918859524","40.5605602929","10-015","B","BAYSIDE STREET"
"363","-73.779505734","40.7622100344","39-026","B","206 STREET"
"364","-73.8345508678","40.7597115265","37-019","B","LAWRENCE STREET"
"365","-73.7481150337","40.7783945377","240-057","B","31 AVENUE"
"366","-73.771331858","40.7455990698","58-049","B","205 STREET"
"367","-73.7756277625","40.7155580313","187-011","B","87 DRIVE"
"368","-73.8256785926","40.7929939526","5","B","BOULEVARD"
"369","-73.7499283433","40.7809086743","345","B","27 AVENUE"
"370","-73.7387943786","40.7753084426","78","B","NASSAU ROAD"
"371","-73.9870101667","40.7378908673","110","B","EAST 20 STREET"
"372","-73.8349528966","40.7191481851","75-010","B","113 PLACE"
"373","-73.7487268056","40.7773032924","240-020","B","32 AVENUE"
"374","-73.7518461736","40.7775698284","31-002","B","237 STREET"
"375","-73.7503149932","40.7787743337","317","B","30 AVENUE"
"376","-73.9034159607","40.9019663424","383","B","WEST 254 STREET"
"377","-73.749112196","40.7077263056","109-059","B","COLFAX STREET"
"378","-73.7511384738","40.776899966","210","B","32 AVENUE"
"379","-73.8296352955","40.7904074474","37","B","BOULEVARD"
"380","-73.8341195002","40.7185565999","75-044","B","113 PLACE"
"381","-73.7649481975","40.7254275568","200-036","B","GRAND CENTRAL PARKWAY"
"382","-73.9873738531","40.7500481419","1302","B","BROADWAY"
"383","-73.7804807506","40.7639617794","38-002","B","206 STREET"
"384","-74.0187069417","40.6237913039","7805","B","FT HAMILTON PARKWAY"
"385","-73.7418250013","40.7383031888","229-032","B","KINGSBURY AVENUE"
"386","-73.8314055672","40.7668996528","32-027","B","LINDEN STREET"
"387","-73.7827991912","40.7710976434","32-015","B","207 STREET"
"388","-73.8346753548","40.7601042915","37-001","B","LAWRENCE STREET"
"389","-73.8453543452","40.7905881845","7-007","B","122 STREET"
"390","-73.9260753892","40.5566212822","47","B","UTICA WALK"
"391","-73.7469592731","40.7771865601","361","B","33 AVENUE"
"392","-73.7514241712","40.7747344432","235-024","B","35 AVENUE"
"393","-73.7523025442","40.6050407232","16-012","B","FAR ROCKAWAY BOULEVARD"
"394","-73.9115413505","40.8198758006","754","B","BROOK AVENUE"
"395","-73.9851056439","40.7381092079","129","B","EAST 21 STREET"
"396","-73.9568184848","40.8142751287","523","B","DR M L KING JR BOULEVARD"
"397","-74.0059540273","40.6254967319","1180","B","68 STREET"
"398","-73.7393855534","40.7756103498","86","B","NASSAU ROAD"
"399","-73.7499066545","40.7750198462","220","B","35 AVENUE"
"400","-73.7502665799","40.7815562683","240-035","B","26 AVENUE"
"401","-73.8949658784","40.8699963771","2786","B","JEROME AVENUE"
"402","-73.9187613927","40.5604260003","10-017","B","BAYSIDE STREET"
"403","-73.8086741735","40.6866671275","135-010","B","HAWTREE CREEK ROAD"
"404","-73.7536841213","40.7772463168","235-022","B","32 AVENUE"
"405","-73.9865924715","40.7377232343","16","B","GRAMERCY PARK"
"406","-73.7470617302","40.7754681624","330","B","35 AVENUE"
"407","-73.7487214089","40.7724399518","237-023","B","HILLSIDE AVENUE"
"408","-73.7509994556","40.5953723572","16-064","B","SEAGIRT BOULEVARD"
"409","-74.0072293974","40.7528030464","234","B","12 AVENUE"
"410","-73.7508754552","40.7807650687","15","B","27 AVENUE"
"411","-73.8971994383","40.726107243","66-039","B","QUEENS MIDTOWN EXPRESSWAY SR N"
"412","-73.9029483296","40.7255689473","61-034","B","55 DRIVE"
